rank,skill,category,demand_count,percentage
1,komunikatif,uncategorized,940,8.86
2,microsoft office,uncategorized,824,7.76
3,microsoft excel,uncategorized,450,4.24
4,communication,uncategorized,390,3.68
5,negosiasi,programming_language,368,3.47
6,excel,uncategorized,350,3.3
7,sales,uncategorized,349,3.29
8,komunikasi dan interaksi,uncategorized,248,2.34
9,microsoft ms word,uncategorized,247,2.33
10,autocad,uncategorized,246,2.32
11,marketing,uncategorized,238,2.24
12,microsoft ms excel,uncategorized,213,2.01
13,leadership,soft_skill,197,1.86
14,komputer,uncategorized,184,1.73
15,accurate,uncategorized,181,1.71
16,sales marketing,uncategorized,164,1.55
17,canva,uncategorized,161,1.52
18,penjualan,uncategorized,142,1.34
19,administrasi,uncategorized,141,1.33
20,bahasa inggris,uncategorized,122,1.15
21,word,uncategorized,121,1.14
22,microsoft ms powerpoint,uncategorized,120,1.13
23,adobe photoshop,uncategorized,116,1.09
24,power point,uncategorized,111,1.05
25,capcut,uncategorized,107,1.01
26,photoshop,tools,101,0.95
27,microsoft ms office,uncategorized,101,0.95
28,akuntansi,uncategorized,99,0.93
29,digital marketing,uncategorized,98,0.92
30,corel draw,uncategorized,97,0.91
31,komunikasi dan negosiasi dengan baik.,uncategorized,96,0.9
32,e-commerce,uncategorized,95,0.9
33,selling,uncategorized,87,0.82
34,english,uncategorized,87,0.82
35,public speaking.,uncategorized,86,0.81
36,sketchup,uncategorized,83,0.78
37,powerpoint,uncategorized,82,0.77
38,problem solving,uncategorized,82,0.77
39,customer service,uncategorized,77,0.73
40,ms office word,uncategorized,75,0.71
41,sales and marketing,uncategorized,70,0.66
42,menguasai microsoft office,uncategorized,70,0.66
43,negosiasi dan komunikasi,uncategorized,69,0.65
44,pajak,uncategorized,68,0.64
45,social media,uncategorized,67,0.63
46,ppt,uncategorized,67,0.63
47,microsoft power point,uncategorized,63,0.59
48,adobe illustrator,uncategorized,61,0.57
49,penjualan dan pemasaran,uncategorized,58,0.55
50,sales marketing strategy,uncategorized,58,0.55
51,presentasi,uncategorized,55,0.52
52,accounting,uncategorized,55,0.52
53,dll,uncategorized,54,0.51
54,komunikasi yang baik dengan pihak lain.,soft_skill,54,0.51
55,mandarin,uncategorized,53,0.5
56,penjualan atau marketing,uncategorized,53,0.5
57,communication skill,uncategorized,52,0.49
58,coretax,uncategorized,50,0.47
59,content creator,uncategorized,49,0.46
60,manajemen waktu,uncategorized,48,0.45
61,negoisasi,programming_language,47,0.44
62,kasir,uncategorized,46,0.43
63,time management,uncategorized,46,0.43
64,perpajakan,uncategorized,46,0.43
65,team work,uncategorized,45,0.42
66,english language,uncategorized,45,0.42
67,teamwork,soft_skill,44,0.41
68,kebersihan,uncategorized,43,0.41
69,seo,uncategorized,42,0.4
70,pph,uncategorized,41,0.39
71,disiplin,uncategorized,41,0.39
72,bahasa mandarin lisan tulisan,uncategorized,41,0.39
73,pemasaran,uncategorized,40,0.38
74,admin,uncategorized,39,0.37
75,marketing and sales.,uncategorized,38,0.36
76,desain grafis,uncategorized,38,0.36
77,instagram,uncategorized,38,0.36
78,pelayanan pelanggan,uncategorized,38,0.36
79,editing,uncategorized,38,0.36
80,microsoft office word,uncategorized,38,0.36
81,menguasai microsoft office word,uncategorized,38,0.36
82,tiktok,uncategorized,37,0.35
83,mengajar,uncategorized,36,0.34
84,ms.office,uncategorized,36,0.34
85,customer and service oriented,uncategorized,35,0.33
86,video editing,uncategorized,35,0.33
87,packing,uncategorized,35,0.33
88,adobe ilustrator,uncategorized,34,0.32
89,ppn,uncategorized,34,0.32
90,adobe premiere,uncategorized,33,0.31
91,premiere,uncategorized,33,0.31
92,target oriented,uncategorized,33,0.31
93,ms excel,uncategorized,33,0.31
94,komunikasi dengan baik,uncategorized,33,0.31
95,erp,uncategorized,33,0.31
96,promosi dan penjualan,uncategorized,32,0.3
97,google sheet,uncategorized,31,0.29
98,microsoft project,uncategorized,31,0.29
99,memasak,uncategorized,31,0.29
100,b b and b c,uncategorized,31,0.29
