skill,demand_count,category,percentage,rank
komunikatif,20,soft_skill,20.0,1
microsoft office,13,uncategorized,13.0,2
bimbingan anak berkebutuhan khusus,7,uncategorized,7.0,3
microsoft excel,5,uncategorized,5.0,4
menangani anak - anak berkebutuhan khusus,5,uncategorized,5.0,5
dalam mengajar,5,uncategorized,5.0,6
sales,4,uncategorized,4.0,7
penjualan,4,uncategorized,4.0,8
canva,3,uncategorized,3.0,9
accurate,3,uncategorized,3.0,10
microsoft ms word,3,uncategorized,3.0,11
capcut,3,uncategorized,3.0,12
sketchup,3,uncategorized,3.0,13
adobe illustrator,2,uncategorized,2.0,14
photoshop,2,tools,2.0,15
negosiasi,2,programming_language,2.0,16
adobe photoshop,2,uncategorized,2.0,17
e-commerce,2,uncategorized,2.0,18
e-faktur,2,uncategorized,2.0,19
critical and analytical thinking,2,uncategorized,2.0,20
team work,2,uncategorized,2.0,21
promosi dan penjualan,2,uncategorized,2.0,22
social media,2,uncategorized,2.0,23
leadership,2,soft_skill,2.0,24
negoisasi,2,uncategorized,2.0,25
video editing,2,uncategorized,2.0,26
content creator,2,uncategorized,2.0,27
customer service,2,uncategorized,2.0,28
pelayanan kepada pelanggan,2,uncategorized,2.0,29
event and communication,1,uncategorized,1.0,30
digital marketing,1,uncategorized,1.0,31
event concept,1,uncategorized,1.0,32
well organised,1,uncategorized,1.0,33
clo d,1,uncategorized,1.0,34
d design,1,tools,1.0,35
and rendering,1,uncategorized,1.0,36
visualization,1,uncategorized,1.0,37
persuasif,1,uncategorized,1.0,38
penjualan dan pemasaran,1,uncategorized,1.0,39
mengendarai sepeda motor,1,uncategorized,1.0,40
market place shopee,1,uncategorized,1.0,41
tokopedia,1,uncategorized,1.0,42
pajak kup,1,uncategorized,1.0,43
spt badan dan spt orang pribadi,1,uncategorized,1.0,44
pajak masa tahunan,1,uncategorized,1.0,45
pajak import pph,1,uncategorized,1.0,46
pph,1,uncategorized,1.0,47
teamwork,1,soft_skill,1.0,48
warehouse,1,uncategorized,1.0,49
